Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_international_povline,headcount_ratio_lower_mid_income_povline,headcount_ratio_upper_mid_income_povline
Albania,ALB,1996,3271336,11.0,0.28047624,2.4019294,3.6875575,0.541907,0.09891043,0.92066900711367,11.17414933675462,44.61841668638992
Albania,ALB,1996,3271336,11.0,0.28047624,2.4019294,3.6875575,0.541907,0.09891043,0.53484603570828,8.89844295896261,47.87914293997184
Albania,ALB,2002,3123554,13.9,0.2818834,2.4615242,3.7131746,0.54258114,0.10573936,1.57084335862702,14.13211815688005,49.66963515999645
Albania,ALB,2002,3123554,13.9,0.2818834,2.4615242,3.7131746,0.54258114,0.10573936,1.09264739043891,11.38832417828243,52.09096563041099
Albania,ALB,2005,3032636,15.6,0.28224605,2.4724932,3.7197618,0.54257834,0.11257821,0.86052711252553,8.71568477109178,38.5452539039565
Albania,ALB,2005,3032636,15.6,0.28224605,2.4724932,3.7197618,0.54257834,0.11257821,0.59108568413212,7.28930426002602,40.42842689312635
Albania,ALB,2008,2951690,17.5,0.28405136,2.4544492,3.739848,0.54245985,0.11902477,0.31364958127441,5.25054159180846,31.11034495362427
Albania,ALB,2008,2951690,17.5,0.28405136,2.4544492,3.739848,0.54245985,0.11902477,0.19992514622249,3.90261276643235,33.43185104991724
Albania,ALB,2012,2892191,19.9,0.2859981,2.440708,3.7816541,0.5422916,0.12626739,0.84975444767885,6.18241386926326,34.52890592661766
Albania,ALB,2012,2892191,19.9,0.2859981,2.440708,3.7816541,0.5422916,0.12626739,0.62069088717048,4.80544210043541,36.66775174166481
Albania,ALB,2014,2884100,21.1,0.2867512,2.4422417,3.8113623,0.5422515,0.12968343,1.58089716965821,11.61562086400974,37.03384185206247
Albania,ALB,2014,2884100,21.1,0.2867512,2.4422417,3.8113623,0.5422515,0.12968343,1.02310077401065,9.67596754489744,38.74382594809586
Albania,ALB,2015,2882482,21.7,0.28698042,2.4422338,3.8181894,0.54220194,0.13121219,0.24509790798944,4.69076710832596,24.461184845440588
Albania,ALB,2015,2882482,21.7,0.28698042,2.4422338,3.8181894,0.54220194,0.13121219,0.12062105945625,3.69899795232545,26.15431421895783
Albania,ALB,2016,2881064,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,0.41036422288427,5.46261218520396,23.903491131383788
Albania,ALB,2016,2881064,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,6.68160398486851,17.62164857539816,39.9498910436282
Albania,ALB,2016,2881064,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,0.1393031662291,4.66663544213151,25.41382814979092
Albania,ALB,2016,2881064,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,5.79510177977224,16.19083068156123,41.50009775967017
Algeria,DZA,1995,28478024,12.5,0.24891958,4.193033,4.6305046,0.75633126,0.18593915,5.62411132812499,23.54044921874999,54.59161880224782
Algeria,DZA,1995,28478024,12.5,0.24891958,4.193033,4.6305046,0.75633126,0.18593915,5.77056640624999,24.2483154296875,61.10341868980961
Algeria,DZA,2011,36543548,22.2,0.24835047,4.0510716,4.670081,0.75636977,0.20148145,0.449365234375,3.74460449218749,28.593149414062506
Algeria,DZA,2011,36543548,22.2,0.24835047,4.0510716,4.670081,0.75636977,0.20148145,0.45546752929687,4.0192077636718695,36.574951171875
Angola,AGO,2000,16394067,3.0,0.21145953,5.90626,3.9771934,0.5537959,0.10227342,36.37447783780093,59.678611294677786,80.54871445737817
Angola,AGO,2000,16394067,3.0,0.21145953,5.90626,3.9771934,0.5537959,0.10227342,21.40884776538471,39.5388496284985,67.21181897238377
Angola,AGO,2008,21691524,4.6,0.21521844,5.7775226,3.9832327,0.55388284,0.116300575,34.44685654028125,60.60456763425691,82.92112596469661
Angola,AGO,2008,21691524,4.6,0.21521844,5.7775226,3.9832327,0.55388284,0.116300575,14.63248728688094,37.66629138909447,69.06348405756208
Argentina,ARG,1991,33105766,17.0,0.31062564,2.59628,5.06636,0.97761256,0.28488374,1.28159837452375,5.50865414866426,18.98641766658016
Argentina,ARG,1991,33105766,17.0,0.31062564,2.59628,5.06636,0.97761256,0.28488374,0.97202862867158,2.97245202772493,14.3213227916285
Argentina,ARG,1992,33568280,17.4,0.31051394,2.5996377,5.06241,0.97768486,0.2869326,2.46197792338322,6.110275783632161,18.37707408062406
Argentina,ARG,1992,33568280,17.4,0.31051394,2.5996377,5.06241,0.97768486,0.2869326,1.67371252553374,4.089052350531619,14.871609473437111
Argentina,ARG,1993,34027240,17.8,0.31043887,2.6029038,5.0600786,0.9777684,0.28832465,2.81819947224729,7.026528521873559,17.842961202941098
Argentina,ARG,1993,34027240,17.8,0.31043887,2.6029038,5.0600786,0.9777684,0.28832465,1.97666617166051,4.88293866112259,15.07040129767766
