,Country,Code,Year,Population (historical estimates),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes",Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,headcount_ratio_upper_mid_income_povline,headcount_ratio_1000
33,Albania,ALB,1996,3271336.0,11.0,0.28047624,2.4019294,3.6875575,0.541907,0.09891043,44.61841668638992,86.17520773919996
34,Albania,ALB,1996,3271336.0,11.0,0.28047624,2.4019294,3.6875575,0.541907,0.09891043,47.87914293997184,75.62388288141901
40,Albania,ALB,2002,3123554.0,13.9,0.2818834,2.4615242,3.7131746,0.54258114,0.10573936,49.66963515999645,85.33831702536492
41,Albania,ALB,2002,3123554.0,13.9,0.2818834,2.4615242,3.7131746,0.54258114,0.10573936,52.09096563041099,76.70504367374417
44,Albania,ALB,2005,3032636.0,15.6,0.28224605,2.4724932,3.7197618,0.54257834,0.11257821,38.5452539039565,79.98712716476295
45,Albania,ALB,2005,3032636.0,15.6,0.28224605,2.4724932,3.7197618,0.54257834,0.11257821,40.42842689312635,68.45308827018641
48,Albania,ALB,2008,2951690.0,17.5,0.28405136,2.4544492,3.739848,0.54245985,0.11902477,31.11034495362427,75.8510209751488
49,Albania,ALB,2008,2951690.0,17.5,0.28405136,2.4544492,3.739848,0.54245985,0.11902477,33.43185104991724,62.7688726498185
53,Albania,ALB,2012,2892191.0,19.9,0.2859981,2.440708,3.7816541,0.5422916,0.12626739,34.52890592661766,77.06983967714693
54,Albania,ALB,2012,2892191.0,19.9,0.2859981,2.440708,3.7816541,0.5422916,0.12626739,36.66775174166481,65.06238755694477
56,Albania,ALB,2014,2884100.0,21.1,0.2867512,2.4422417,3.8113623,0.5422515,0.12968343,37.03384185206247,71.58568545345165
57,Albania,ALB,2014,2884100.0,21.1,0.2867512,2.4422417,3.8113623,0.5422515,0.12968343,38.74382594809586,60.97816312931914
58,Albania,ALB,2015,2882482.0,21.7,0.28698042,2.4422338,3.8181894,0.54220194,0.13121219,24.461184845440588,62.1753802690021
59,Albania,ALB,2015,2882482.0,21.7,0.28698042,2.4422338,3.8181894,0.54220194,0.13121219,26.15431421895783,50.61879313739188
60,Albania,ALB,2016,2881064.0,22.3,0.28713554,2.441605,3.8151882,0.542146,0.1328488,23.903491131383788,59.79901278008186
